sp500_std,sp500_q01,sp500_q05,sp500_q95,sp500_q99,sp500_abs_autocorr_lag1,sp500_abs_autocorr_lag5,sp500_abs_autocorr_lag20,dgs10_std,dgs10_q01,dgs10_q05,dgs10_q95,dgs10_q99,dgs10_abs_autocorr_lag1,dgs10_abs_autocorr_lag5,dgs10_abs_autocorr_lag20,cross_corr,rolling_corr_std_60,corr_down_sp500_q05,corr_up_sp500_q95,window_start,window_end
0.007007361897578469,-0.01731548,-0.0115111,0.010844249999999998,0.018585560000000084,0.2635538493649978,0.20972658792549148,0.14414950279548247,0.04087281044144754,-0.12,-0.07,0.06,0.1,0.26932478910501545,0.0920284981994593,0.09075232203447571,-0.2520087132918737,0.20741629428301464,-0.17706028603655066,-0.44923371553779307,0,1259
0.007064409887563319,-0.01711016,-0.01145145,0.01105095,0.019253880000000015,0.25957359608489344,0.2042125785890865,0.13900372790136575,0.044209581781533315,-0.12,-0.07,0.07,0.10410000000000082,0.27711855955688774,0.0895072782888341,0.0739824692365314,-0.27192557307835813,0.18886645655000583,-0.17051206557093207,-0.4695252529044726,126,1385
0.006808705743442719,-0.01552359,-0.010794,0.0108688,0.0184775900000001,0.24947364792463209,0.19514663526872741,0.12591629651218636,0.043319190347402343,-0.12,-0.07,0.07,0.10410000000000082,0.28603123253762064,0.09854036829405183,0.07487077427253884,-0.28790626901729494,0.17785073337511365,-0.24263866992757013,-0.5070949705192569,252,1511
0.006737603385909296,-0.015424,-0.010567350000000001,0.0105271,0.017911070000000008,0.24991893019448408,0.19148586014908303,0.13260450509443544,0.04245100499168738,-0.12,-0.07,0.07,0.10410000000000082,0.32451320972465886,0.1225361591022172,0.10445564548809724,-0.29700558904489643,0.1735377474395978,-0.1920314823018824,-0.522833281683724,378,1637
0.006896582123951293,-0.015289190000000001,-0.01095005,0.010945549999999997,0.017911070000000008,0.23528854239816271,0.18119542429775373,0.1274529897024035,0.04137010159279589,-0.12,-0.07,0.07,0.10410000000000082,0.35729743018418847,0.14211142284491424,0.1253100221201117,-0.29146278869197717,0.16786981876977783,-0.24367932593971683,-0.5352279780079464,504,1763
0.007135446906910769,-0.015424,-0.0114524,0.011329699999999998,0.019253880000000015,0.2525853654892886,0.21680018812817595,0.1531900278257609,0.041052602067536484,-0.11,-0.07,0.07,0.10410000000000082,0.3693445042866829,0.16859502515847566,0.14419780050602962,-0.2633385800760873,0.15498520852385742,-0.1469695166247167,-0.47308447079540467,630,1889
0.007928427630104975,-0.01997092,-0.0132054,0.012875599999999992,0.02108257000000001,0.25482222274130645,0.22928349702908932,0.16861521291917847,0.040266059034477907,-0.11,-0.07,0.06,0.1,0.3748654325596513,0.18573558275282565,0.15436003429956027,-0.23009517709128552,0.1673975646456317,-0.1109914906571863,-0.5126468449001106,756,2015
0.009015218249814898,-0.022731759999999997,-0.01483965,0.014460749999999998,0.025027760000000038,0.24885753816750014,0.2753353707456104,0.21999851822910912,0.040327669188815696,-0.11,-0.07,0.06,0.1,0.3654264903433754,0.19140142262136595,0.1638266523189364,-0.22270275833808453,0.1686938724293198,-0.13732321771616812,-0.31835353611688605,882,2141
0.009610194794585879,-0.02489367,-0.0152842,0.015431299999999997,0.02618691000000004,0.2400774412214524,0.2654529126058261,0.22524316084334486,0.040846545865461825,-0.11,-0.06,0.07,0.11410000000000081,0.3684275869655113,0.20760694127638119,0.16281818871560744,-0.22069852109208124,0.16312200582754238,-0.22992516225819468,-0.23106534061041964,1008,2267
0.009354812939596687,-0.02310962,-0.01502355,0.015102049999999995,0.025493180000000018,0.2118358216497375,0.24997997574874162,0.23058134426047464,0.040631650360359074,-0.11,-0.07,0.06,0.12,0.34059040149726144,0.21552609571302264,0.13186043943515455,-0.18528069319633653,0.1372561966904252,-0.20712443024155436,-0.09170525279457996,1134,2393
0.009486539359400688,-0.02310962,-0.0151304,0.015431299999999997,0.025493180000000018,0.19478872742859077,0.23302721749289404,0.20224817197329056,0.039402002592358945,-0.11,-0.06,0.07,0.10999999999999999,0.27916817576219866,0.23991242879306698,0.12117186254623762,-0.17997737256701088,0.14014825921893684,-0.22145001292219849,-0.09822046645275774,1260,2519
0.009499432717497737,-0.02310962,-0.01517945,0.015431299999999997,0.024887490000000075,0.1851353441473718,0.22813455724779313,0.20367495629525287,0.03595589668326345,-0.1,-0.05,0.06,0.10410000000000082,0.23686574978552616,0.22759632891221918,0.12315761618667766,-0.17719010504295896,0.1235727307957495,-0.16379446002278927,0.026137388662812743,1386,2645
0.009467947519965242,-0.02310962,-0.01513385,0.01517965,0.024887490000000075,0.18640123988447804,0.22696136351798502,0.20634602304068167,0.03813868756444721,-0.11,-0.06,0.06,0.11410000000000081,0.23237509156014016,0.1977626333106871,0.11262540052200848,-0.17932214807483735,0.12221571436886071,-0.16379446002278927,0.02750313578542397,1512,2771
0.009509647683710773,-0.02310962,-0.015246699999999998,0.015196499999999996,0.024887490000000075,0.1733971539514862,0.2232635021251499,0.20419395621327516,0.03879054157865099,-0.11,-0.06,0.06,0.12,0.20201596603342856,0.1797433838526654,0.08846138265525197,-0.18109751580520028,0.1196817440546706,-0.13979866124348744,0.02926194588185934,1638,2897
0.009532456724206634,-0.02310962,-0.015284899999999999,0.01529354999999999,0.024887490000000075,0.17348744662058552,0.21718289321696096,0.20276057163171785,0.039164831608834626,-0.11,-0.06,0.06,0.12,0.1866382986714586,0.16960294022029873,0.08380590145384878,-0.18648207863608202,0.12753992857487298,-0.14396776414462228,0.047086857540773845,1764,3023
0.009461901594701297,-0.02310962,-0.0153995,0.015159699999999998,0.024887490000000075,0.1860108613627361,0.20251717569958552,0.21060410301589058,0.040200184303168934,-0.11,-0.06,0.07,0.12410000000000082,0.184616765939641,0.14543438037007436,0.06259662470224107,-0.22464020773238944,0.1397361404633209,-0.14137293039450033,-0.18637342615229696,1890,3149
0.008954801932851733,-0.02191265,-0.014292949999999999,0.0145356,0.024790140000000085,0.17452780996713946,0.19696495456632204,0.22807046147988239,0.04092591978374299,-0.11,-0.06,0.07,0.13,0.1744415055096319,0.119891111558115,0.042586702725997544,-0.26221585955417287,0.1343211870688762,-0.26563576822840756,-0.20905709791707192,2016,3275
0.007846319220174541,-0.01757929,-0.0120782,0.012945599999999998,0.020548980000000005,0.13900574868160623,0.1087350704438113,0.1408337033780475,0.0484640928609442,-0.14,-0.06049999999999997,0.08,0.15,0.3094720437207183,0.2291771000320957,0.15420996970802417,-0.2797281509300365,0.13982859019358482,-0.2147670800389989,-0.4806580650772061,2142,3401
0.007552483358797785,-0.01724128,-0.01161445,0.01236544999999999,0.019415390000000008,0.08187747326504032,0.07149196467102432,0.11556498233491048,0.07301988342269942,-0.25,-0.09,0.1,0.21,0.39997519841932144,0.4125945766659606,0.3192241830848742,-0.22342147394857825,0.14477975392594336,-0.3196292118838846,-0.5280857449082612,2268,3527
0.007624336421532968,-0.01880114,-0.011715049999999998,0.012905949999999998,0.018577090000000004,0.08102373881039589,0.09360502882033866,0.11321274861375882,0.0892496506715171,-0.3141,-0.11,0.14,0.27,0.4393056500362256,0.4090106803925039,0.3480206856489265,-0.2456492992519948,0.150195351480233,-0.25815741495489547,-0.2731412681381104,2394,3653
0.007661094041892192,-0.01947667,-0.01243785,0.012570599999999994,0.01871588000000002,0.05617575141633819,0.07885169411471782,0.1217622357126241,0.09992675905069791,-0.32410000000000005,-0.15,0.16,0.31230000000000246,0.4279270530962203,0.3788342517413087,0.35891697888314306,-0.24204481397688013,0.14110467229094,-0.19278905966206025,-0.27740751601294394,2520,3779
0.007900133930037882,-0.01968499,-0.0126719,0.012729199999999996,0.019327480000000022,0.06395771246363348,0.09419055101498211,0.1135984844274896,0.1130594414833255,-0.34,-0.18049999999999997,0.19,0.35,0.38402267161930587,0.34426754140112,0.3245921027745595,-0.2693166915182431,0.14796162939098667,-0.2877919939609343,-0.25087247220374637,2646,3905
