window_start,window_end,mahalanobis_distance
0,1259,4.018165948991439
126,1385,3.9077471909691734
252,1511,3.767738107375205
378,1637,3.513565610739974
504,1763,3.721446631827727
630,1889,4.425243189794207
756,2015,4.532863995956439
882,2141,3.986551433293089
1008,2267,3.5779690260694945
1134,2393,4.569777850962756
1260,2519,4.0769664091758875
1386,2645,3.9861188965729406
1512,2771,3.777331906854707
1638,2897,4.064929889348922
1764,3023,4.018411932302717
1890,3149,3.820744575559983
2016,3275,5.019417036411465
2142,3401,4.676747795173341
2268,3527,6.924120801501552
2394,3653,7.107788754367669
2520,3779,4.941392769175658
2646,3905,5.212327815366244
2772,4031,5.286903935935963
2898,4157,4.003631444125635
3024,4283,3.4822114566831313
3150,4409,4.0459931024249505
3276,4535,4.750232512423099
3402,4661,4.900730510306304
3528,4787,3.8446526054823686
3654,4913,4.632602635571706
3780,5039,3.8673997620067544
3906,5165,5.163659117783552
4032,5291,5.259405975366678
4158,5417,3.8281003606397475
4284,5543,3.701617957851979
4410,5669,4.0035267730617194
4536,5795,4.668372503301753
4662,5921,3.966097201861695
4788,6047,4.370372756334233
4914,6173,4.42918386529923
5040,6299,4.12265968075776
5166,6425,4.55000594097659
5292,6551,3.582678891150131
5418,6677,4.7590333727326835
5544,6803,4.2466191103622055
5670,6929,4.172090925215324
5796,7055,3.9241680680437163
5922,7181,4.997621283296316
6048,7307,3.7382612463534457
6174,7433,4.908422063533378
6300,7559,5.006710491510503
6426,7685,5.09814634611639
6552,7811,6.1397899811929815
6678,7937,4.215871450107587
6804,8063,4.085330219111911
6930,8189,4.5091195556876205
7056,8315,4.120808515522199
7182,8441,3.9480144293598007
7308,8567,4.062925656648425
7434,8693,3.8970864954006537
7560,8819,4.907364111863992
7686,8945,4.715471020406733
7812,9071,4.294280064313592
7938,9197,4.437353600388924
8064,9323,4.035111967404804
8190,9449,3.6089158227280445
8316,9575,3.8619341182511
8442,9701,3.7997312116433712
8568,9827,4.605489779682016
8694,9953,3.759458264383149
8820,10079,4.844260097680253
8946,10205,4.488030444123632
9072,10331,5.638378036161093
9198,10457,5.204932983193315
9324,10583,6.8971453858009735
9450,10709,4.95962239313675
9576,10835,3.895286467145407
9702,10961,3.828239331929188
9828,11087,3.9334909425532847
9954,11213,3.3521023758168114
10080,11339,4.33187792432928
10206,11465,4.597106204075742
10332,11591,4.156863928562856
10458,11717,4.6409966093785835
10584,11843,3.209713570963195
10710,11969,3.8477877608252373
10836,12095,4.260443845823056
10962,12221,3.964110346197376
11088,12347,4.530534806224882
11214,12473,3.7714482578359996
11340,12599,4.0228704396553105
11466,12725,3.8245413924823377
11592,12851,3.7432366575177523
11718,12977,3.4739297144929004
11844,13103,4.428899648398252
11970,13229,4.235589131390648
12096,13355,5.71119672479065
12222,13481,4.623105684297428
12348,13607,4.3062773645544485
12474,13733,4.627652147696777
12600,13859,3.5741792670251273
12726,13985,5.0060434995829315
12852,14111,4.581327493580406
12978,14237,4.170731688854033
13104,14363,4.290610712220892
13230,14489,4.292829484270881
13356,14615,6.610059361345925
